rank,code_point_hex,char,doc_count
0,0,all,17115
1,4e00,一,16012
2,4eba,人,15637
3,51fa,出,15088
4,898b,見,15052
5,65e5,日,15036
6,5927,大,14904
7,601d,思,14833
8,4e2d,中,14792
9,4e0a,上,14682
10,6642,時,14509
11,9593,間,14399
12,4e8c,二,14395
13,751f,生,14282
14,5206,分,14055
15,65b9,方,13951
16,5e74,年,13889
17,81ea,自,13870
18,4eca,今,13867
19,4f55,何,13849
20,884c,行,13848
21,5fc3,心,13693
22,672c,本,13615
23,624b,手,13599
24,5b50,子,13575
25,4e8b,事,13567
26,4e09,三,13565
27,77e5,知,13498
28,524d,前,13454
29,7acb,立,13403
30,5c0f,小,13309
31,5bb6,家,13134
32,5341,十,13119
33,7269,物,13098
34,4e0b,下,13042
35,5408,合,12820
36,76ee,目,12769
37,6765,来,12728
38,8005,者,12720
39,5f8c,後,12705
40,5ea6,度,12672
41,660e,明,12541
42,6301,持,12432
43,5165,入,12401
44,8a00,言,12361
45,4e0d,不,12326
46,540c,同,12267
47,6c17,気,12262
48,6708,月,12169
49,901a,通,12122
50,610f,意,12104
51,7121,無,12074
52,9762,面,12012
53,5c11,少,11945
54,5916,外,11902
55,611f,感,11867
56,5730,地,11782
57,98a8,風,11708
58,8fd1,近,11658
59,767d,白,11646
60,6240,所,11622
61,8eab,身,11581
62,5148,先,11548
63,56db,四,11522
64,7136,然,11514
65,4e16,世,11442
66,5834,場,11434
67,8003,考,11424
68,5411,向,11404
69,4e94,五,11304
70,9577,長,11299
71,805e,聞,11289
72,5473,味,11253
73,8a71,話,11222
74,591a,多,11194
75,79c1,私,11135
76,53e3,口,11097
77,65b0,新,11081
78,5207,切,10992
79,8db3,足,10986
80,52d5,動,10926
81,5c71,山,10881
82,4ee3,代,10877
83,9053,道,10873
84,8272,色,10865
85,9ad8,高,10853
86,529b,力,10847
87,66f8,書,10845
88,7406,理,10834
89,5973,女,10759
90,540d,名,10752
91,982d,頭,10748
92,76f8,相,10635
93,53d6,取,10553
94,5185,内,10527
95,4f5c,作,10510
96,8449,葉,10492
97,5168,全,10470
98,5b9f,実,10469
99,7684,的,10460
100,4ee5,以,10448
101,6587,文,10442
102,5f53,当,10413
103,6b69,歩,10358
104,6700,最,10310
105,7528,用,10230
106,5f97,得,10216
107,73fe,現,10187
108,7a7a,空,10165
109,843d,落,10153
110,5225,別,10149
111,4e3b,主,10057
112,6b63,正,9996
113,597d,好,9989
114,60c5,情,9906
115,5c4b,屋,9900
115,76f4,直,9900
116,591c,夜,9857
117,90e8,部,9847
118,5e73,平,9834
119,5f15,引,9825
120,4ed5,仕,9819
121,91cd,重,9802
122,4f53,体,9793
123,6d41,流,9785
124,8d77,起,9726
125,6b21,次,9714
126,771f,真,9660
127,6c34,水,9645
128,516d,六,9641
129,5f7c,彼,9625
130,6728,木,9582
131,904e,過,9576
132,5929,天,9554
133,9060,遠,9534
134,795e,神,9531
135,6df1,深,9492
136,5e38,常,9470
137,7d50,結,9468
138,91ce,野,9467
139,82e5,若,9450
140,4ed6,他,9446
141,7537,男,9428
142,7740,着,9427
143,7b2c,第,9416
144,9054,達,9405
145,7530,田,9401
146,5149,光,9394
147,773c,眼,9359
148,60f3,想,9343
149,7f8e,美,9336
150,4f1a,会,9324
151,7f6e,置,9320
152,6709,有,9305
152,554f,問,9305
153,65e9,早,9297
154,5909,変,9249
155,9055,違,9203
156,69d8,様,9189
157,5c45,居,9181
158,91d1,金,9178
159,5f37,強,9172
160,97f3,音,9142
160,7b11,笑,9142
161,82e6,苦,9134
162,516b,八,9127
163,521d,初,9101
164,6b7b,死,9073
165,539f,原,9027
166,6d3b,活,9007
167,547d,命,8997
168,9803,頃,8996
169,671d,朝,8989
170,5f62,形,8969
171,89aa,親,8937
172,9854,顔,8913
173,5b89,安,8862
174,53e4,古,8847
175,767e,百,8830
176,5b66,学,8809
177,5bfe,対,8796
177,4fe1,信,8796
178,89e3,解,8794
179,6c7a,決,8773
180,534a,半,8763
181,8868,表,8760
182,6210,成,8756
183,58f0,声,8747
184,8fd4,返,8744
185,8ab0,誰,8743
186,767a,発,8734
187,9752,青,8714
188,592b,夫,8706
189,8a9e,語,8685
190,5f35,張,8664
191,5e30,帰,8662
192,7b49,等,8661
193,958b,開,8652
194,4e03,七,8648
195,6839,根,8606
196,5f85,待,8599
197,8fbc,込,8590
198,4e5d,九,8588
199,56fd,国,8564
200,60aa,悪,8542
201,8aac,説,8498
202,611b,愛,8492
203,6027,性,8491
204,5fa1,御,8473
205,59ff,姿,8446
206,8981,要,8437
207,59cb,始,8426
208,98df,食,8421
209,547c,呼,8405
210,6570,数,8388
211,5728,在,8371
212,98db,飛,8353
213,679c,果,8347
214,592a,太,8341
215,77f3,石,8287
216,5fc5,必,8284
217,8abf,調,8281
218,6253,打,8277
219,571f,土,8265
220,53d7,受,8254
221,6025,急,8223
222,7a2e,種,8212
223,5b9a,定,8172
224,53ef,可,8156
225,8b70,議,8151
226,8349,草,8118
227,7d30,細,8104
228,5931,失,8089
229,5316,化,8062
230,6cd5,法,8061
231,5ddd,川,8054
232,5143,元,8047
233,6b8b,残,8025
234,899a,覚,8014
235,4f9b,供,8003
