rank,code_point_hex,char,char_count
0,0,all,59301009
1,5e74,年,1688601
2,65e5,日,910717
3,6708,月,784226
4,5927,大,550182
5,5b66,学,454522
6,672c,本,450514
7,4eba,人,430361
8,4e2d,中,355195
9,4e00,一,343651
10,51fa,出,334669
11,56fd,国,331266
12,90e8,部,320457
13,4f1a,会,316866
14,4f5c,作,299009
15,884c,行,296564
16,5730,地,258953
17,6642,時,253733
18,5b50,子,253311
19,4e0a,上,246858
20,5834,場,246010
21,5e02,市,245390
22,5f8c,後,245149
23,7b2c,第,244735
24,751f,生,244625
25,5408,合,238253
26,767a,発,237606
27,793e,社,229010
28,6226,戦,226227
29,7530,田,226000
30,4ee3,代,224396
31,6771,東,214539
32,4e8b,事,211361
33,540d,名,209833
34,7528,用,209061
35,6210,成,205850
36,9577,長,205015
37,540c,同,201356
38,8005,者,201341
39,5c71,山,200431
40,9ad8,高,196075
41,9053,道,192622
42,9593,間,192406
43,958b,開,187264
44,624b,手,183665
45,5206,分,183078
46,7acb,立,181665
47,696d,業,180746
48,65b0,新,177203
49,76ee,目,175338
50,5b9a,定,172240
51,6240,所,171662
52,5ddd,川,169598
53,95a2,関,166728
54,6821,校,166326
55,7684,的,166242
56,6587,文,165587
57,524d,前,164807
58,5c0f,小,161989
59,770c,県,161817
60,81ea,自,160410
61,5185,内,159049
62,52d5,動,158451
63,5165,入,157250
64,548c,和,155964
65,4e3b,主,152525
66,901a,通,151720
67,5bb6,家,151650
68,4e0b,下,149632
69,7269,物,148802
70,9023,連,147095
71,516c,公,145797
72,8a2d,設,145091
73,91ce,野,144445
74,5916,外,142157
75,7dda,線,141984
76,73fe,現,140067
77,5168,全,138317
78,56de,回,137720
79,4f53,体,137596
80,8eca,車,137201
81,753b,画,135996
82,8a9e,語,134613
83,5f53,当,133523
84,65b9,方,133510
85,5316,化,132590
86,9078,選,131952
87,6f14,演,130859
88,5e73,平,130691
89,521d,初,129575
90,5bfe,対,129506
91,4e16,世,129358
92,5973,女,128625
93,753a,町,126510
94,6700,最,125068
95,5f0f,式,124106
96,6751,村,123687
97,660e,明,123237
98,6559,教,121984
99,8868,表,121864
100,5cf6,島,121842
101,4eac,京,121779
102,6a5f,機,121754
103,539f,原,121315
104,8a18,記,121126
105,4ee5,以,120611
106,5728,在,120474
107,6027,性,120227
108,53f7,号,120100
109,529b,力,118781
110,6cd5,法,118410
111,66f8,書,118323
112,99c5,駅,118183
113,66f2,曲,118000
114,4e09,三,117481
115,7406,理,116257
116,5317,北,115293
117,898b,見,114532
118,6d77,海,112782
119,795e,神,112310
120,9001,送,110019
121,653e,放,109884
122,8ecd,軍,109582
123,5b9f,実,108714
124,6570,数,107212
125,4f4d,位,104918
125,54e1,員,104918
126,7de8,編,104520
127,671f,期,103962
128,5ea6,度,103660
129,7d44,組,102752
130,897f,西,102559
131,591a,多,102467
132,533a,区,101773
133,756a,番,101107
134,5143,元,98436
135,52dd,勝,97496
136,6c34,水,96468
137,4f7f,使,94520
138,54c1,品,94318
139,52a0,加,94303
140,6cbb,治,93688
141,7279,特,93620
142,8981,要,93322
143,7d4c,経,93185
144,6b63,正,91756
145,5236,制,91229
146,52d9,務,90286
147,5f79,役,89430
148,6728,木,88465
149,7248,版,88092
150,8eab,身,87857
151,653f,政,87640
152,91d1,金,87249
153,58f2,売,87004
154,5171,共,85847
155,6c11,民,85429
156,53d6,取,85378
157,90fd,都,84475
158,80fd,能,84356
159,6ce8,注,84025
160,53d7,受,83795
161,53c2,参,83644
162,70b9,点,83117
163,4e8c,二,82906
164,6765,来,82641
165,5357,南,82423
166,8a71,話,82251
167,7f8e,美,81358
168,738b,王,80845
169,6c17,気,80108
170,7d50,結,79837
171,96fb,電,79749
172,7f6e,置,79653
173,9762,面,79533
174,5f62,形,79043
175,6d3b,活,78958
176,96c6,集,78703
177,662d,昭,78228
178,9332,録,78083
179,77e5,知,77442
180,754c,界,76907
181,8b70,議,76474
182,6301,持,76306
183,904b,運,76233
184,56e3,団,76077
185,811a,脚,76062
186,6620,映,75563
187,512a,優,75273
188,79d1,科,75261
189,4fe1,信,74936
190,5909,変,74365
191,53f2,史,74176
192,7b49,等,74064
193,5de5,工,73976
194,8a00,言,73931
195,53e3,口,73731
196,9662,院,73473
197,969b,際,73416
198,5929,天,73373
199,697d,楽,73101
200,9928,館,71843
201,9244,鉄,71612
202,97f3,音,71529
203,4e0d,不,71335
204,7a7a,空,71119
205,6307,指,70578
206,4ea4,交,70171
207,8cde,賞,70135
208,5dde,州,70100
209,6b74,歴,70062
210,4e95,井,69896
211,6b21,次,69035
212,6709,有,68882
213,59cb,始,68718
214,767b,登,68503
215,7d9a,続,68382
216,4ed8,付,68161
217,8def,路,67876
218,58eb,士,67496
219,82f1,英,67261
220,4fdd,保,67035
221,91cd,重,66936
222,6b4c,歌,66725
223,968a,隊,66666
224,5e97,店,66276
225,6c7a,決,66171
226,90ce,郎,65702
227,53f0,台,65587
228,85e4,藤,65448
229,5229,利,65036
230,5ca1,岡,64964
231,592a,太,64955
232,7d42,終,64793
233,7537,男,64608
234,4ed6,他,64278
235,9032,進,63886
236,5225,別,63643
237,8fd1,近,63464
238,4efb,任,63403
239,53ce,収,62718
240,7d04,約,62694
241,578b,型,62631
242,7814,研,62530
243,7523,産,62376
244,6539,改,62317
245,8853,術,62240
246,5831,報,62235
247,677e,松,62034
248,5c4b,屋,61747
249,610f,意,61492
250,77f3,石,61241
251,5f97,得,61074
252,76f8,相,60804
253,7cfb,系,60780
254,53e4,古,60068
255,6d41,流,59925
256,5fc3,心,59895
257,9020,造,59431
258,5e83,広,59166
259,8a08,計,58991
260,5411,向,58980
261,88fd,製,58746
262,8003,考,58717
263,7fa9,義,58531
264,89e3,解,58382
265,5c5e,属,58302
266,7dcf,総,57603
267,5efa,建,57401
268,7a76,究,56708
269,79f0,称,56551
270,5c11,少,56502
271,5c40,局,56490
272,7121,無,56414
273,5bae,宮,56366
274,5b89,安,56235
275,6a29,権,55892
276,90e1,郡,55750
277,79fb,移,55382
278,5712,園,55118
279,9580,門,55108
280,57fa,基,55083
281,771f,真,54918
282,57ce,城,54756
283,6483,撃,54480
284,69d8,様,54343
285,5f7c,彼,54326
286,8ee2,転,53826
287,55b6,営,53667
288,99ac,馬,53510
289,8aac,説,53487
290,671d,朝,53443
291,518d,再,53289
292,76e3,監,53085
293,5149,光,53058
294,76f4,直,52953
295,652f,支,52778
296,80b2,育,52463
297,7403,球,52437
298,6280,技,52218
299,57df,域,51889
300,6b66,武,51835
301,4f1d,伝,51724
302,6a4b,橋,51481
303,6b7b,死,51126
304,611b,愛,51018
305,7d71,統,50975
306,7a2e,種,50825
307,53ef,可,50603
308,9805,項,50498
309,5099,備,50330
310,4e21,両,50275
311,7531,由,50221
312,8c37,谷,50156
313,5b58,存,49918
314,798f,福,49914
315,914d,配,49836
316,571f,土,49679
317,5f15,引,49569
318,683c,格,49406
319,5e38,常,49115
320,6b62,止,48403
321,5b98,官,48383
322,679c,果,48134
323,65bd,施,48020
324,547c,呼,47862
325,8abf,調,47739
326,5f37,強,47537
327,88c5,装,47408
328,5d0e,崎,47328
329,5178,典,47198
330,6238,戸,47053
331,984c,題,46479
332,69cb,構,45769
333,4f50,佐,45724
334,8a66,試,45691
335,5bfa,寺,45653
336,7763,督,45647
337,547d,命,45632
338,5e9c,府,45469
339,5175,兵,45410
340,60c5,情,45355
341,5148,先,44640
342,72b6,状,44384
343,5354,協,43949
344,5e2b,師,43877
345,58f0,声,43772
346,6599,料,43760
347,7740,着,43636
348,65cf,族,43411
349,4f4f,住,43396
350,962a,阪,42759
351,767d,白,42532
352,8ad6,論,42183
353,4e07,万,41823
354,7d00,紀,41739
355,5409,吉,41686
356,9054,達,41683
357,964d,降,41452
358,5b57,字,41420
359,9000,退,40953
360,661f,星,40883
361,8d77,起,40850
362,6c5f,江,40767
363,89aa,親,40364
364,4e57,乗,40285
365,5224,判,40136
366,554f,問,40004
367,793a,示,39713
368,89a7,覧,39674
369,7ba1,管,39634
370,8272,色,39512
371,8a8d,認,39482
372,5074,側,39369
373,5468,周,39280
374,5343,千,39121
375,8449,葉,39048
376,4ef6,件,38997
377,5404,各,38542
378,5287,劇,38454
379,826f,良,38451
380,5fdc,応,38396
381,8457,著,38320
382,9650,限,38275
383,5dfb,巻,38258
384,4e88,予,38075
385,98a8,風,38052
386,4fee,修,37912
387,5341,十,37851
388,66f4,更,37748
389,53cd,反,37720
390,6253,打,37564
391,534a,半,37506
392,682a,株,37416
393,5ba4,室,37414
394,9752,青,37386
395,8266,艦,37329
396,5f71,影,37161
397,985e,類,36800
398,9632,防,36765
399,8f09,載,36741
400,6d25,津,36700
401,7d1a,級,36572
402,8cc7,資,36535
403,9678,陸,36431
404,62c5,担,36410
405,6cb3,河,36250
406,904e,過,36246
407,592b,夫,36231
408,653b,攻,36076
409,6bba,殺,35888
410,6b73,歳,35824
411,56db,四,35704
412,9818,領,35693
413,50ac,催,35553
414,4e45,久,35532
415,67fb,査,35502
416,7236,父,35404
417,982d,頭,35279
418,82b1,花,35268
419,53f8,司,35091
420,98df,食,34977
421,6761,条,34954
422,89b3,観,34920
423,6295,投,34883
424,885b,衛,34873
425,8fbc,込,34755
426,65e7,旧,34708
427,5217,列,34704
428,515a,党,34434
429,56f3,図,34415
430,601d,思,34404
431,5668,器,34362
432,68ee,森,34318
433,5fa9,復,34287
434,5546,商,34230
435,7d99,継,34155
436,6ca2,沢,33835
437,7570,異,33831
438,8239,船,33755
439,5207,切,33736
440,63a5,接,33589
441,4f0a,伊,33421
442,5eab,庫,33375
443,6319,挙,33336
444,66dc,曜,33261
445,5c02,専,33174
446,8a5e,詞,33057
447,5ea7,座,33053
448,5473,味,33036
449,7af6,競,32924
449,5bb3,害,32924
450,5b8c,完,32794
451,5ff5,念,32793
452,901f,速,32706
453,4fc2,係,32682
454,96e2,離,32578
455,4e89,争,32566
456,7c73,米,32486
457,6bcd,母,32338
458,6982,概,31972
459,614b,態,31962
460,898f,規,31830
461,533b,医,31764
462,6625,春,31754
463,843d,落,31727
464,516b,八,31711
465,5c0e,導,31532
466,59d4,委,31395
467,52a9,助,31385
468,8b77,護,31378
469,72ec,独,31347
470,732e,献,31278
471,6025,急,31269
472,4f9b,供,31233
473,6d0b,洋,31215
474,9b54,魔,31096
475,8846,衆,31058
